d_state,d_conv,expand,batch_size,dropout_rate,num_mamba_layers,n_mfcc,n_fft,hop_length,n_mels,noise_level,lr,weight_decay,train_accuracy,validation_accuracy,test_accuracy,final_test_accuracy,epochs
41,6,2,44,0.603564285064847,2,19,236,325,91,0.2588823169499767,0.00016837432181614765,7.546378289579474e-06,91.29541328702823,93.81582500675128,92.04712812960236,92.04712812960236,35
56,4,4,18,0.25387648050218764,1,9,736,224,79,0.09868369824048817,0.0023450009853002995,7.404306022130329e-06,89.9000798061541,93.86983526870105,92.66077565046638,92.66077565046638,45
18,16,4,60,0.21323905543277538,4,21,425,142,57,0.06194564713921086,0.00035002643587486054,6.97091203987603e-06,89.82123026300056,93.73480961382663,92.61168384879726,92.61168384879726,53
50,15,4,26,0.4537702855628483,3,21,372,407,92,0.012533491728390977,0.0024443891012135032,3.814172718849542e-05,91.62651036955948,94.70699432892249,94.2071674030437,94.2071674030437,41
63,2,3,44,0.48442497813654156,4,26,421,523,99,0.29817295828525164,0.007621026562741607,4.8669725259349204e-05,89.81266683824452,93.89684039967594,93.22533136966126,93.22533136966126,37
58,6,4,26,0.4740193229881182,2,22,617,445,75,0.052242992820471956,0.00029039363798848253,1.6802538285898715e-06,88.835944678676,94.8690251147718,94.84536082474227,94.84536082474227,44
59,2,2,45,0.3638585829354586,3,26,257,171,60,0.27281641110119464,0.005521764693563935,3.317197928036278e-05,89.28237220399842,95.49014312719417,95.36082474226804,95.36082474226804,58
15,11,4,13,0.2887787646968044,2,14,209,80,96,0.10512016322522712,0.0016375326662618041,6.64643798495517e-06,87.63894542768392,94.5179584120983,94.30535100638194,94.30535100638194,59
46,13,4,45,0.5461918533484581,2,24,543,202,81,0.2593954181278777,0.0006290249065218816,2.192354379552544e-06,87.0589862757304,93.89684039967594,92.68532155130093,92.68532155130093,39
38,16,2,57,0.5610531576031205,1,22,598,190,57,0.06113073595859696,0.00044559809341147524,4.457948454703109e-06,89.9078158180526,94.84201998379692,94.59990181639667,94.59990181639667,53
54,12,3,10,0.12597842707806672,2,17,353,247,27,0.23090195632642244,0.00021305974362659333,1.499134727729913e-06,90.46511997776153,94.70699432892249,94.64899361806579,94.64899361806579,47
14,15,2,43,0.08333845237148663,1,8,427,222,92,0.24833972479832828,0.00034776715870365435,8.318437198165832e-06,86.83879414809897,94.8690251147718,94.28080510554737,94.28080510554737,35
17,16,3,15,0.5191707890430329,3,20,438,391,100,0.2885913583600032,0.00029089056721852695,6.34068398276676e-05,87.47828511939646,94.00486092357548,93.34806087383407,93.34806087383407,31
38,11,4,29,0.6829853256048399,3,12,252,632,33,0.001512033146185754,0.0012854080518119816,2.1998616538509037e-05,86.8005412479618,94.62597893599784,94.5753559155621,94.5753559155621,41
26,13,4,59,0.2494172722275255,4,17,546,33,42,0.15800438337070571,0.00011512655125697115,1.8321313052340404e-05,90.37954094179516,94.78800972184715,93.8880706921944,93.8880706921944,42
46,9,4,33,0.31482144820022206,4,20,333,54,46,0.004908831004381064,0.0009213301173278103,4.023331830678598e-06,89.55962169716273,94.57196867404807,94.35444280805106,94.35444280805106,40
47,8,4,32,0.3687702181070219,4,14,311,327,42,0.00026594525632225863,0.0026197147927773216,3.139375634609725e-06,87.3166070022121,93.46475830407778,92.97987236131566,92.97987236131566,47
47,9,3,23,0.3364626994697057,3,19,202,29,72,0.14896906855069997,0.0009246852278902529,1.5185067072714874e-05,87.56258596467775,93.76181474480151,93.29896907216495,93.29896907216495,53
47,10,3,35,0.616568664438103,2,24,346,328,46,0.11786194835650762,0.0007985282678271993,9.39040922171728e-05,90.09015863073519,95.2470969484202,94.2071674030437,94.2071674030437,44
31,7,4,39,0.4412630236952415,4,14,521,506,87,0.03183737306651463,0.0023867824085522364,3.4270975756557293e-06,89.34458312785172,95.49014312719417,95.36082474226804,95.36082474226804,46
42,13,4,20,0.4164667624849301,3,18,780,103,50,0.09374441551548479,0.0037815454561873716,1.0683151202218428e-06,89.18604616807353,94.73399945989738,93.96170839469808,93.96170839469808,55
28,6,4,51,0.30449816085878534,4,15,323,414,67,0.19264542879325036,0.001320986317480722,1.2953239411900997e-05,88.37178778840841,94.59897380502295,93.91261659302896,93.91261659302896,52
8,14,3,9,0.15479447213272157,3,23,360,290,85,0.03214162632662157,0.0007429545924774445,3.4658730381100705e-05,89.69472459722694,95.32811234134486,94.8944526264114,94.8944526264114,53
24,10,3,8,0.17821736128768836,2,25,481,284,20,0.03171508625387978,0.0006052982790012188,4.642905995725101e-06,87.2668527772579,94.84201998379692,95.01718213058419,95.01718213058419,58
