Model,Training MMACs,KParams,Train Accuracy,Validation Accuracy,Test Accuracy,Training Epochs,Batch Size,Learning Rate,Weight Decay,Noise Level,Inference CUDA Mem in MB,Inference MMACs,Inference KParams,input_dim,d_model,d_state,d_conv,expand
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,72.153576,32.958,91.29541328702824,93.81582500675128,92.04712812960236,35.0,44.0,0.0001683743218161,7.546378289579474e-06,0.2588823169499767,1.629696,1.639854,32.958,57,51,41,6,2
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,77.068728,59.872,89.9000798061541,93.86983526870104,92.66077565046638,45.0,18.0,0.0023450009853002,7.404306022130329e-06,0.0986836982404881,2.067456,4.281596,59.872,27,73,56,4,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,2245.89348,327.876,89.82123026300056,93.73480961382664,92.61168384879726,53.0,60.0,0.0003500264358748,6.97091203987603e-06,0.0619456471392108,8.353792,37.431558,327.876,63,114,18,16,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,88.77648,81.848,91.62651036955948,94.70699432892248,94.2071674030437,41.0,26.0,0.0024443891012135,3.814172718849542e-05,0.0125334917283909,2.221056,3.41448,81.848,63,41,50,15,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,91.044096,65.516,89.81266683824452,93.89684039967594,93.22533136966126,37.0,44.0,0.0076210265627416,4.86697252593492e-05,0.2981729582852516,1.973248,2.069184,65.516,78,32,63,2,3
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,48.65796,51.183,88.835944678676,94.8690251147718,94.84536082474229,44.0,26.0,0.0002903936379884,1.6802538285898717e-06,0.0522429928204719,1.752576,1.87146,51.183,66,37,58,6,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,569.96865,135.197,89.28237220399842,95.49014312719416,95.36082474226804,58.0,45.0,0.0055217646935639,3.317197928036278e-05,0.2728164111011946,3.760128,12.66597,135.197,78,95,59,2,2
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,1110.87678,426.434,87.63894542768392,94.5179584120983,94.30535100638194,59.0,13.0,0.0016375326662618,6.64643798495517e-06,0.1051201632252271,11.913216,85.45206,426.434,42,202,15,11,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,479.08422,131.961,87.0589862757304,93.89684039967594,92.68532155130092,39.0,45.0,0.0006290249065218,2.192354379552544e-06,0.2593954181278777,3.347456,10.646316,131.961,72,81,46,13,4
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,185.0505,38.626,89.9078158180526,94.84201998379692,94.59990181639668,53.0,57.0,0.0004455980934114,4.457948454703109e-06,0.0611307359585969,1.75616,3.2465,38.626,66,86,38,16,2
KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,52.6383,80.268,90.46511997776152,94.70699432892248,94.6489936180658,47.0,10.0,0.0002130597436265,1.499134727729913e-06,0.2309019563264224,2.392576,5.26383,80.268,51,66,54,12,3
