0 ,Model                                                 ,GMACs       ,Params    ,Accuracy          ,input_dim ,d_model ,d_state ,d_conv ,expand ,Inference CUDA Mem in MB ,Inference GMACs ,Inference Params
0 ,KeywordSpottingModel                                  ,0.583333176 , 179186.0 ,92.51633339932688 ,       13 ,    101 ,     32 ,    20 ,     2 ,                2.721792 ,    0.030207585 ,        179186.0
0 ,KeywordSpottingModel                                  ,0.301295928 , 153330.0 ,93.01128489408038 ,       13 ,    101 ,     16 ,     4 ,     2 ,                2.540544 ,    0.021393921 ,        153330.0
0 ,KeywordSpottingModel                                  ,2.275556664 , 623586.0 ,92.21936250247477 ,       13 ,    101 ,    128 ,    64 ,     4 ,                5.79072  ,    0.083089569 ,        623586.0
0 ,KeywordSpottingModel                                  ,4.531854648 ,1968098.0 ,91.54622846960996 ,       13 ,    101 ,    256 ,   128 ,     8 ,               14.072832 ,    0.153598881 ,       1968098.0
0 ,KeywordSpottingModel                                  ,0.293256936 , 306471.0 ,92.85290041575924 ,       40 ,     51 ,     64 ,    16 ,     8 ,                3.258368 ,    0.01070694  ,        306471.0
0 ,KeywordSpottingModel                                  ,0.293256936 , 306471.0 ,92.81330429617897 ,       40 ,     51 ,     64 ,    16 ,     8 ,                3.258368 ,    0.01070694  ,        306471.0
0 ,KeywordSpottingModel                                  ,0.077519592 ,  46983.0 ,92.81330429617897 ,       40 ,     51 ,     16 ,     4 ,     2 ,                1.477632 ,    0.003965148 ,         46983.0
0 ,KeywordSpottingModel_RSM_Norm                         ,0.0401013   ,  24747.0 ,90.76424520658925 ,       40 ,     51 ,     16 ,     4 ,     2 ,                1.275392 ,    0.002024496 ,         24747.0
0 ,KeywordSpottingModel_RSM_Norm                         ,0.076057524 ,  59019.0 ,91.08830677828787 ,       40 ,     51 ,     32 ,    16 ,     4 ,                1.520128 ,    0.003148128 ,         59019.0
0 ,KeywordSpottingModel_RSM_Norm_0-1-2_order             ,0.039179832 ,  46624.0 ,92.43856332703214 ,       39 ,     51 ,     16 ,     4 ,     2 ,                1.495552 ,    0.003941637 ,         46624.0
0 ,KeywordSpottingModel_RSM_Norm_0-1-2_order_cls         ,0.04155372  ,  25492.0 ,92.93078055964654 ,       39 ,     52 ,     16 ,     4 ,     2 ,                1.291264 ,    0.00211614  ,         25492.0
0 ,KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise ,0.04155372  ,  25492.0 ,93.24987727049583 ,       39 ,     52 ,     16 ,     4 ,     2 ,                1.291264 ,    0.00211614  ,         25492.0
0,KeywordSpottingModel_RSM_Norm_0-1-2_order_cls_bgnoise,0.153694008,41716.0,93.22533136966126,39,52,64,16,2,1.41568,0.005620524,41716.0
